Cassette #,Layer #,Material,Thickness (mm),Cumulative Thickness (mm),Radition Length (g/cm2),Density (g/cm3),# of Radiation Lengths,Layerwise Radiation Lentgh,Cumulative Radiation Length,Z values,Z min,Z max
,,Cu,0.1,0.1,12.86,8.96,0.00697,0.00697,0.00697,3210.55,3210.5,3210.6
,,Stainless Steel,0.3,0.4,13.918,8.02,0.01729,0.02425,0.02425,3210.75,3210.6,3210.9
,,glue,0.05,0.45,42.6,1.3,0.00015,0.02441,0.02441,3210.925,3210.9,3210.95
,,Lead,2.77,3.22,6.37,11.35,0.49356,0.51796,0.51796,3212.335,3210.95,3213.72
,,glue,0.05,3.27,42.6,1.3,0.00015,0.51812,0.51812,3213.745,3213.72,3213.77
,,Stainless Steel,0.3,3.57,13.918,8.02,0.01729,0.53540,0.53540,3213.92,3213.77,3214.07
,,Cu,0.1,3.67,12.86,8.96,0.00697,0.54237,0.54237,3214.12,3214.07,3214.17
,,Air,0.225,3.895,37.1,0.0012,0.00000,0.54237,0.54237,3214.2825,3214.17,3214.395
,,PCB,1.6,5.495,31.84,1.7,0.00854,0.55091,0.55091,3215.195,3214.395,3215.995
,,Air('electronics'),3.73,9.225,37.1,0.0012,0.00001,0.55093,0.55093,3217.86,3215.995,3219.725
,,PCB (Hexaboard),1.6,10.825,31.84,1.7,0.00854,0.55947,0.55947,3220.525,3219.725,3221.325
,,glue,0.075,10.9,42.6,1.3,0.00023,0.55970,0.55970,3221.3625,3221.325,3221.4
1,1,Si,0.3,11.2,21.21,2.33,0.00330,0.56299,0.56299,3221.55,3221.4,3221.7
,,glue,0.065,11.265,42.6,1.3,0.00020,0.00020,0.56319,3221.7325,3221.7,3221.765
,,kapton,0.265,11.53,40.596,1.11,0.00072,0.00092,0.56392,3221.8975,3221.765,3222.03
,,glue,0.065,11.595,42.6,1.3,0.00020,0.00112,0.56411,3222.0625,3222.03,3222.095
,,Cu/W,1.4,12.995,7.669,14.979,0.27345,0.27457,0.83756,3222.795,3222.095,3223.495
,,Cooling plate (Cu),6.05,19.045,12.86,8.96,0.42152,0.69609,1.25908,3226.52,3223.495,3229.545
,,Cu/W,1.4,20.445,7.669,14.979,0.27345,0.96954,1.53253,3230.245,3229.545,3230.945
,,glue,0.065,20.51,42.6,1.3,0.00020,0.96974,1.53273,3230.9775,3230.945,3231.01
,,kapton,0.265,20.775,40.596,1.11,0.00072,0.97046,1.53345,3231.1425,3231.01,3231.275
,,glue,0.065,20.84,42.6,1.3,0.00020,0.97066,1.53365,3231.3075,3231.275,3231.34
1,2,Si,0.3,21.14,21.21,2.33,0.00330,0.97395,1.53695,3231.49,3231.34,3231.64
,,glue,0.075,21.215,42.6,1.3,0.00023,0.00023,1.53718,3231.6775,3231.64,3231.715
,,PCB (Hexaboard),1.6,22.815,31.84,1.7,0.00854,0.00877,1.54572,3232.515,3231.715,3233.315
,,Air('electronics'),3.73,26.545,37.1,0.0012,0.00001,0.00878,1.54573,3235.18,3233.315,3237.045
,,PCB,1.6,28.145,31.84,1.7,0.00854,0.01733,1.55427,3237.845,3237.045,3238.645
,,Air,0.225,28.37,37.1,0.0012,0.00000,0.01733,1.55427,3238.7575,3238.645,3238.87
,,Cu,0.1,28.47,12.86,8.96,0.00697,0.02429,1.56124,3238.92,3238.87,3238.97
,,Stainless Steel,0.3,28.77,13.918,8.02,0.01729,0.04158,1.57853,3239.12,3238.97,3239.27
,,glue,0.05,28.82,42.6,1.3,0.00015,0.04173,1.57868,3239.295,3239.27,3239.32
,,Lead,4.97,33.79,6.37,11.35,0.88555,0.92728,2.46423,3241.805,3239.32,3244.29
,,glue,0.05,33.84,42.6,1.3,0.00015,0.92744,2.46438,3244.315,3244.29,3244.34
,,Stainless Steel,0.3,34.14,13.918,8.02,0.01729,0.94472,2.48167,3244.49,3244.34,3244.64
,,Cu,0.1,34.24,12.86,8.96,0.00697,0.95169,2.48864,3244.69,3244.64,3244.74
,,Air,0.225,34.465,37.1,0.0012,0.00000,0.95169,2.48864,3244.8525,3244.74,3244.965
,,PCB,1.6,36.065,31.84,1.7,0.00854,0.96023,2.49718,3245.765,3244.965,3246.565
,,Air('electronics'),3.73,39.795,37.1,0.0012,0.00001,0.96025,2.49719,3248.43,3246.565,3250.295
,,PCB (Hexaboard),1.6,41.395,31.84,1.7,0.00854,0.96879,2.50574,3251.095,3250.295,3251.895
,,glue,0.075,41.47,42.6,1.3,0.00023,0.96902,2.50596,3251.9325,3251.895,3251.97
2,3,Si,0.3,41.77,21.21,2.33,0.00330,0.97231,2.50926,3252.12,3251.97,3252.27
,,glue,0.065,41.835,42.6,1.3,0.00020,0.00020,2.50946,3252.3025,3252.27,3252.335
,,kapton,0.265,42.1,40.596,1.11,0.00072,0.00092,2.51018,3252.4675,3252.335,3252.6
,,glue,0.065,42.165,42.6,1.3,0.00020,0.00112,2.51038,3252.6325,3252.6,3252.665
,,Cu/W,1.4,43.565,7.669,14.979,0.27345,0.27457,2.78383,3253.365,3252.665,3254.065
,,Cooling plate (Cu),6.05,49.615,12.86,8.96,0.42152,0.69609,3.20535,3257.09,3254.065,3260.115
,,Cu/W,1.4,51.015,7.669,14.979,0.27345,0.96954,3.47880,3260.815,3260.115,3261.515
,,glue,0.065,51.08,42.6,1.3,0.00020,0.96974,3.47900,3261.5475,3261.515,3261.58
,,kapton,0.265,51.345,40.596,1.11,0.00072,0.97046,3.47972,3261.7125,3261.58,3261.845
,,glue,0.065,51.41,42.6,1.3,0.00020,0.97066,3.47992,3261.8775,3261.845,3261.91
2,4,Si,0.3,51.71,21.21,2.33,0.00330,0.97395,3.48322,3262.06,3261.91,3262.21
,,glue,0.075,51.785,42.6,1.3,0.00023,0.00023,3.48344,3262.2475,3262.21,3262.285
,,PCB (Hexaboard),1.6,53.385,31.84,1.7,0.00854,0.00877,3.49199,3263.085,3262.285,3263.885
,,Air('electronics'),3.73,57.115,37.1,0.0012,0.00001,0.00878,3.49200,3265.75,3263.885,3267.615
,,PCB,1.6,58.715,31.84,1.7,0.00854,0.01733,3.50054,3268.415,3267.615,3269.215
,,Air,0.225,58.94,37.1,0.0012,0.00000,0.01733,3.50054,3269.3275,3269.215,3269.44
