 EventID   CumTr  TrackID  Layer        X_mm        Y_mm        Z_mm    pTot_MeV       Eta       Phi     Theta   Charge   Energy_MeV    Edep_MeV    PDG_ID
------------------------------------------------------------------------------------------------------------------------------------------------------
       0       0        1      0   -3145.020     879.890       0.000    5000.000   -0.7200    1.2980    2.2325      1.0     5001.116    0.000000       -13
       0       1        1      0    9097.680     161.920       0.000    5000.000    0.5700    4.7302    1.0276      1.0     5001.116    0.000000       -13
       0       2        1      0   -2512.670    7264.570       0.000    5000.000    0.2200    0.3330    1.3555      1.0     5001.116    0.000000       -13
       0       3        1      0    2265.450    -909.570       0.000    5000.000    2.8700    1.1890    0.1138     -1.0     5001.116    0.000000       -13
       0       3        4      1     132.360     329.661    3221.400    4994.846    2.8751    1.1878    0.1127      1.0     4890.305    0.127865       -13
       0       3        4      2     132.774     330.691    3231.340    4983.911    2.8876    1.1774    0.1113      1.0     4879.372    0.110578       -13
       0       3        4      3     133.628     332.829    3251.970    4974.715    2.8865    1.2077    0.1114      1.0     4870.178    0.109112       -13
       0       3        4      4     134.032     333.869    3261.910    4957.491    2.8617    1.1805    0.1142      1.0     4852.959    0.144143       -13
       0       3        4      5     134.976     336.040    3282.540    4944.295    2.8617    1.1398    0.1142      1.0     4839.766    0.074956       -13
       0       3        4      6     135.463     337.075    3292.480    4933.570    2.8621    1.1302    0.1142      1.0     4829.043    0.075967       -13
       0       3        4      7     136.457     339.208    3313.110    4924.696    2.8757    1.1477    0.1126      1.0     4820.171    0.078279       -13
       0       3        4      8     136.925     340.240    3323.050    4914.385    2.8570    1.1581    0.1148      1.0     4809.862    0.082289       -13
       0       3        4      9     137.891     342.421    3343.680    4889.439    2.8553    1.1496    0.1150      1.0     4784.922    0.095720       -13
       0       3        4     10     138.350     343.463    3353.620    4876.835    2.8679    1.1553    0.1135      1.0     4772.321    0.159821       -13
       0       3        4     11     139.296     345.657    3374.250    4868.135    2.8320    1.1726    0.1177      1.0     4763.623    0.096434       -13
       0       3        4     12     139.750     346.725    3384.190    4857.839    2.8510    1.1683    0.1154      1.0     4753.329    0.093062       -13
       0       3        4     13     140.701     348.965    3404.820    4848.403    2.8102    1.1666    0.1202      1.0     4743.896    0.113614       -13
       0       3        4     14     141.170     350.071    3414.760    4838.229    2.8013    1.1671    0.1213      1.0     4733.724    0.082733       -13
       0       3        4     15     142.161     352.388    3435.390    4829.314    2.7927    1.1673    0.1224      1.0     4724.812    0.088439       -13
       0       3        4     16     142.638     353.511    3445.330    4818.038    2.8228    1.1615    0.1187      1.0     4713.538    0.091017       -13
       0       3        4     17     143.598     355.778    3465.960    4803.963    2.8274    1.1805    0.1182      1.0     4699.467    0.136509       -13
       0       3        4     18     144.050     356.868    3475.900    4793.468    2.8482    1.1810    0.1158      1.0     4688.974    0.094096       -13
       0       3        4     19     145.101     359.430    3499.780    4760.741    2.8487    1.1852    0.1157      1.0     4656.255    0.083387       -13
       0       3        4     20     145.527     360.511    3509.720    4749.896    2.8302    1.2049    0.1179      1.0     4645.412    0.101790       -13
       0       3        4     21     146.593     363.141    3533.600    4736.644    2.8237    1.1461    0.1186      1.0     4632.164    0.263495       -13
       0       3        4     22     147.073     364.217    3543.540    4724.408    2.8346    1.2101    0.1174      1.0     4619.931    0.072845       -13
       0       3        4     23     148.052     366.804    3567.420    4709.094    2.8818    1.2001    0.1119      1.0     4604.621    0.102202       -13
       0       3        4     24     148.450     367.841    3577.360    4699.027    2.9001    1.2122    0.1099      1.0     4594.557    0.106588       -13
       0       3        4     25     149.369     370.282    3601.240    4684.571    2.9404    1.2097    0.1056      1.0     4580.104    0.074024       -13
       0       3        4     26     149.735     371.266    3611.180    4673.710    2.9424    1.2372    0.1054      1.0     4569.246    0.075203       -13
       0       3        4     27     152.096     377.921    3678.360    4612.416    2.9547    1.2346    0.1041      1.0     4507.968    0.071229       -13
       0       3        4     28     154.438     384.113    3741.410    4540.095    2.9740    1.2140    0.1021      1.0     4435.666    0.099078       -13
       0       3        4     29     156.693     390.217    3804.460    4474.118    2.9006    1.2048    0.1099      1.0     4369.707    0.136764       -13
       0       3        4     30     159.192     396.512    3867.510    4300.445    2.9620    1.1760    0.1033      1.0     4196.085    0.091764       -13
       0       3        4     31     161.501     402.041    3930.560    4230.305    3.1276    1.2589    0.0876      1.0     4125.966    0.080411       -13
       0       3        4     32     163.070     407.354    3993.610    4172.293    3.1203    1.2771    0.0882      1.0     4067.972    0.089737       -13
       0       3        4     33     164.625     412.420    4056.660    4112.900    3.2030    1.2511    0.0812      1.0     4008.598    0.068023       -13
       0       3        4     34     166.255     417.408    4119.710    4031.151    3.1634    1.2816    0.0845      1.0     3926.877    0.117434       -13
       0       3        4     35     167.719     422.628    4182.760    3964.937    3.1385    1.2673    0.0866      1.0     3860.686    0.083288       -13
       0       3        4     36     169.428     427.500    4245.810    3901.080    3.2945    1.2195    0.0741      1.0     3796.852    0.079363       -13
       0       3        4     37     171.124     431.844    4308.860    3833.096    3.3692    1.2225    0.0688      1.0     3728.894    0.111110       -13
       0       3        4     38     172.569     437.086    4391.110    3732.460    3.4453    1.3508    0.0638      1.0     3628.297    0.068231       -13
       0       3        4     39     172.941     442.303    4473.360    3630.839    3.4588    1.6475    0.0629      1.0     3526.718    0.085539       -13
       0       3        4     40     172.652     447.170    4555.610    3534.544    3.5509    1.6358    0.0574      1.0     3430.465    0.325959       -13
       0       3        4     41     171.895     451.958    4637.860    3445.761    3.5247    1.8140    0.0589      1.0     3341.723    0.093998       -13
       0       3        4     42     170.350     456.475    4720.110    3359.799    3.5322    1.9398    0.0585      1.0     3255.801    0.134564       -13
       0       3        4     43     168.375     460.980    4802.360    3277.371    3.4233    2.1367    0.0652      1.0     3173.415    0.107528       -13
       0       3        4     44     165.645     465.301    4884.610    3177.376    3.5318    2.3323    0.0585      1.0     3073.474    0.077559       -13
       0       3        4     45     161.998     469.726    4966.860    3073.217    3.3650    2.2479    0.0691      1.0     2969.374    0.095612       -13
       0       3        4     46     157.616     474.225    5049.110    2989.429    3.2186    2.4787    0.0800      1.0     2885.638    0.082779       -13
       0       3        4     47     152.405     477.947    5131.360    2902.586    3.3130    2.5374    0.0728      1.0     2798.850    0.130004       -13
       0       3      798      9     138.295     344.750    3343.680       7.174    1.5654    0.9670    0.4121     -1.0        6.681    0.084460        11
